Y,X1,X2,X3
149933472,204,764,962
629663040,933,740,912
9982512,383,543,48
218877440,386,640,886
80052280,517,392,395
44753400,940,230,207
167567232,304,952,579
2888280,71,120,339
16279495,827,31,635
84543264,468,193,936
81169760,460,644,274
38776320,330,306,384
762972,651,293,4
53640400,365,668,220
20260566,657,34,907
121872150,537,850,267
11396060,827,106,130
2498040,540,514,9
24146100,542,54,825
41199840,136,340,891
248387125,875,379,749
9604164,669,388,37
75548592,258,441,664
45916320,340,204,662
62390348,514,886,137
192464730,942,265,771
2008500,309,20,325
24680160,27,985,928
23980340,526,470,97
26547220,245,526,206
168305100,732,541,425
68497128,133,828,622
133319200,532,280,895
555128280,940,602,981
1487320,206,361,20
38766000,375,994,104
188591226,514,779,471
63822330,171,522,715
10444176,29,656,549
38073122,283,137,982
434390190,897,613,790
250409736,622,844,477
45545640,919,140,354
11116896,852,14,932
615120,233,330,8
568633000,775,830,884
3646824,61,282,212
197470350,330,695,861
493390575,969,657,775
20263150,310,769,85
10284120,385,742,36
230856250,859,625,430
541058400,864,925,677
75591516,377,372,539
36318360,403,751,120
151140,55,916,3
152036352,432,611,576
6677184,838,48,166
324367560,811,606,660
361601510,823,530,829
82227024,549,184,814
433855370,785,754,733
6881168,262,536,49
72522000,918,250,316
70800240,670,476,222
16607360,352,140,337
8645152,482,38,472
158022150,278,975,583
58067988,226,374,687
136872432,582,956,246
122408952,411,631,472
261738800,610,631,680
271491552,752,558,647
9566640,515,129,144
40530492,639,628,101
137804100,311,525,844
2073500,715,20,145
45517500,850,170,315
332982720,597,830,672
348559848,514,819,828
306386220,644,805,591
3558120,745,398,12
25043200,400,301,208
343567015,407,857,985
220218816,536,456,901
392624960,728,695,776
5908755,93,97,655
5470632,43,558,228
2398000,11,436,500
12920166,574,123,183
79543464,946,858,98
29772864,333,352,254
278468245,935,563,529
6196330,41,254,595
74121672,113,724,906
24348588,409,66,902
220318360,904,617,395
1793536,226,124,64
4485330,610,129,57
130798733,533,559,439
12426236,421,628,47
7942000,275,80,361
28531404,66,654,661
432712175,665,905,719
140161320,745,702,268
119466243,741,881,183
51210260,347,157,940
366039050,650,937,601
13029500,412,575,55
4987500,228,625,35
3475872,12,447,648
21861248,608,178,202
190845375,375,667,763
940160,520,226,8
6150300,38,650,249
446913516,734,654,931
13874964,674,47,438
29165472,666,322,136
50363775,825,513,119
110663139,281,523,753
4954256,419,16,739
338840994,862,849,463
2178792,396,6,917
409605,329,249,5
97937760,120,967,844
305219880,859,840,423
2384063,187,209,61
189432600,530,518,690
1826200,5,920,397
132372240,232,858,665
99840468,546,338,541
36345386,122,803,371
136870674,853,282,569
183699680,820,683,328
12834126,227,698,81
137263500,825,188,885
92075832,843,666,164
201565320,982,311,660
36674550,341,225,478
33294384,129,849,304
41837952,136,377,816
1604560,620,4,647
59074686,383,342,451
91160210,146,755,827
51330048,496,168,616
32216184,364,297,298
200159376,779,606,424
398817783,999,533,749
5215518,159,42,781
168479987,793,277,767
84199640,686,361,340
9176328,306,42,714
55902424,248,431,523
99076992,186,574,928
247437456,798,904,343
485951400,972,550,909
19919070,277,799,90
27537840,198,380,366
334674574,991,403,838
232016400,434,891,600
52477950,246,805,265
109776210,305,669,538
179038080,832,270,797
8782240,40,419,524
5164552,452,197,58
221583978,462,993,483
161518980,447,812,445
186267432,771,808,299
43552080,104,705,594
157120938,927,246,689
11253216,508,26,852
6293628,506,18,691
6840295,109,163,385
292139910,522,647,865
8212500,50,438,375
14779812,61,993,244
40619040,785,294,176
4450900,947,188,25
12474770,55,238,953
345815190,458,799,945
1152180,18,865,74
31340400,82,546,700
11015919,621,73,243
123531804,822,414,363
77900540,398,529,370
14796314,299,454,109
7951068,887,996,9
21536280,578,90,414
11778620,686,505,34
1785960,615,88,33
34771392,612,848,67
23100,25,7,132
46995624,552,481,177
206557344,357,861,672
38972934,721,273,198
20434500,478,114,375
77185332,828,579,161
85793232,824,938,111
236270034,329,837,858
357644385,705,609,833
279629658,594,609,773
48358590,105,491,938
299009025,733,735,555
119328300,329,900,403
308990502,818,423,893
2273320,40,161,353
3614408,86,316,133
177109740,531,654,510
6200988,339,34,538
8595896,292,82,359
351504244,938,377,994
82974060,601,156,885
19960584,174,476,241
203363328,686,579,512
45386436,263,394,438
34130478,519,251,262
25555968,423,118,512
158457975,331,975,491
1154300,70,97,170
53171272,649,152,539
136176744,547,984,253
69939072,192,882,413
234702,118,153,13
93984300,410,810,283
1173402,73,171,94
39061360,71,920,598
16297246,293,274,203
41360910,114,487,745
33891260,271,260,481
447592700,925,883,548
10476960,115,312,292
94988076,866,362,303
254006528,424,772,776
55790784,202,548,504
200752020,980,243,843
136692270,845,946,171
60124883,797,91,829
46748232,439,493,216
40870620,326,315,398
21173160,970,68,321
78064092,717,516,211
1104000,400,120,23
107095590,874,389,315
37225584,993,781,48
39147750,822,75,635
274115088,362,936,809
7213728,461,16,978
383811120,392,989,990
284505200,595,556,860
490133280,784,910,687
352108326,838,681,617
104284775,409,329,775
3774624,959,96,41
850632,529,402,4
264369467,557,911,521
137025204,514,471,566
19804176,63,444,708
212641411,281,857,883
400404400,880,901,505
26496000,125,512,414
204408000,425,576,835
11795544,324,334,109
23850288,924,108,239
440319672,673,936,699
68093892,711,276,347
9589923,203,87,543
72685620,938,945,82
100729830,213,722,655
14332080,285,56,898
164963040,995,264,628
157110464,842,784,238
150082448,419,976,367
90272952,627,857,168
342143032,506,779,868
22602895,977,661,35
48671280,648,518,145
9415602,567,437,38
465949530,930,933,537
46395140,173,460,583
87021816,321,658,412
96612264,342,826,342
70506580,214,701,470
225545936,623,374,968
24703272,222,132,843
55195,7,83,95
14250020,290,311,158
8408680,70,236,509
74428960,131,670,848
34966400,892,70,560
20828940,302,605,114
5826132,211,468,59
146232320,320,676,676
89724168,244,659,558
52644240,198,578,460
2985840,234,319,40
368512254,681,594,911
389750046,821,623,762
118200600,590,756,265
18330984,56,333,983
140410536,749,856,219
14621031,37,529,747
3857904,6,734,876
109792980,363,852,355
1125084,212,183,29
2507232,164,364,42
185225319,603,323,951
6777764,491,986,14
118938888,807,414,356
5251708,34,649,238
20193439,521,343,113
139981335,345,529,767
283825472,898,332,952
82063080,391,330,636
181044136,577,431,728
330764504,809,596,686
52386072,433,568,213
32925970,55,701,854
18363618,39,777,606
200430384,889,244,924
135851040,708,492,390
132509520,297,880,507
3225964,302,218,49
8680602,497,213,82
544044600,810,946,710
209623960,866,931,260
86387616,336,438,587
12145056,616,159,124
43487352,766,498,114
5974072,221,436,62
99206250,858,125,925
4932468,9,838,654
71481240,194,414,890
59815392,167,574,624
52992360,834,90,706
6174672,94,276,238
89457120,740,657,184
21679000,100,815,266
35035000,650,490,110
15727140,858,195,94
187454988,282,931,714
40352776,349,194,596
329085460,620,803,661
460240,523,2,440
18590208,784,312,76
672504201,831,927,873
14023000,148,125,758
384657920,992,740,524
141523686,859,486,339
136727019,447,759,403
2545088,46,608,91
485352,756,3,214
80110800,867,336,275
4832964,149,636,51
2694510,195,658,21
395675000,980,625,646
26353472,248,296,359
51776630,590,127,691
73824480,180,552,743
46893381,123,827,461
155743236,594,491,534
13587300,279,487,100
115274367,299,393,981
84392,44,274,7
172862250,690,911,275
370050912,738,616,814
369212256,588,648,969
212041830,921,299,770
84014112,273,326,944
14309568,702,32,637
81069030,593,441,310
33608520,621,902,60
280704,43,816,8
441876512,544,847,959
229745412,431,804,663
42378524,388,457,239
245830,610,403,1
945600,800,394,3
89033196,669,388,343
71175195,573,455,273
179010150,890,253,795
287591724,531,644,841
3091860,15,386,534
53168010,318,595,281
7128576,51,546,256
762490308,916,879,947
114016140,882,139,930
5416224,528,23,446
116207616,896,579,224
384689172,701,556,987
495915420,718,759,910
326510378,926,503,701
1234024,148,11,758
16404336,414,254,156
21287232,97,508,432
113712060,906,815,154
173977980,460,803,471
27814750,485,74,775
107666832,364,628,471
128382768,348,852,433
241420060,860,337,833
3190560,272,170,69
124750,125,1,998
280628928,699,816,492
89033553,623,711,201
147015050,650,553,409
147594688,566,928,281
42532980,345,148,833
390140928,768,927,548
315629504,464,983,692
114115696,629,464,391
1657674,703,786,3
27712720,476,410,142
105647520,428,748,330
228825275,973,575,409
38897989,629,67,923
430508925,825,693,753
299128984,322,946,982
291952496,856,814,419
324768,6,136,398
471615690,805,777,754
31016700,900,241,143
1773576,51,828,42
61718670,377,963,170
90496848,442,449,456
45646848,762,234,256
2281662,899,3,846
266697710,739,478,755
34442460,585,359,164
212196915,841,315,801
143324676,473,684,443
411840000,704,780,750
68841840,718,408,235
74013740,515,244,589
52498674,349,411,366
540911,343,83,19
73992600,550,202,666
10763172,483,36,619
27516489,539,273,187
88480140,719,879,140
254164260,966,415,634
85638384,702,312,391
50149410,118,435,977
15721328,359,56,782
47006388,506,117,794
189871500,676,875,321
11272900,811,139,100
272725440,984,520,533
32556960,138,240,983
274473864,633,696,623
257235300,700,399,921
24844764,282,899,98
14305680,60,333,716
215382474,727,654,453
287022960,945,328,926
461458705,683,829,815
337070640,766,760,579
360862320,820,651,676
256359776,526,664,734
40670784,672,66,917
65367729,463,567,249
7517664,198,452,84
20030400,856,104,225
18670296,298,454,138
209607552,973,264,816
40986000,621,500,132
36451350,837,335,130
19550322,99,621,318
420953664,898,912,514
32969560,247,284,470
115994349,243,731,653
120905664,437,393,704
12300300,45,790,346
321723936,747,626,688
205475328,816,366,688
183117000,895,600,341
153726644,919,589,284
162341536,746,536,406
169459784,988,382,449
14199489,369,127,303
33928776,84,978,413
101467960,341,865,344
90940200,524,975,178
215694768,508,492,863
10378704,391,48,553
157348800,223,784,900
19188575,725,199,133
159120378,447,474,751
690522,401,861,2
202334272,448,857,527
202300868,781,406,638
1054284,11,588,163
12542556,636,37,533
133586640,808,501,330
84972732,537,358,442
630481874,802,803,979
258636300,332,799,975
77146992,468,723,228
340306400,907,536,700
94697900,874,197,550
214497360,584,770,477
47352396,156,421,721
23774520,913,620,42
45646092,302,243,622
65506680,380,942,183
5061600,555,15,608
129908700,642,426,475
181807938,793,423,542
241237920,488,535,924
89222988,298,417,718
41053696,886,256,181
71036472,472,663,227
20253240,188,189,570
29562624,208,504,282
185749200,840,810,273
61268424,98,983,636
634452480,822,960,804
4452327,27,209,789
147830256,392,574,657
59912832,719,248,336
14683251,201,319,229
192089100,410,485,966
201600168,649,516,602
264043248,777,634,536
10555850,685,67,230
428362152,878,654,746
65677392,432,813,187
309676840,604,590,869
543064200,970,645,868
1784847,237,443,17
25220790,665,441,86
82785066,511,871,186
98434440,328,351,855
138536424,936,523,283
127301250,409,830,375
91297344,544,498,337
1508560,865,218,8
296859616,344,974,886
711280,523,340,4
69297288,628,318,347
188998408,661,412,694
507576888,918,868,637
10026753,187,183,293
10975965,215,663,77
31330048,313,544,184
48938526,433,598,189
222977040,445,584,858
27175008,147,218,848
311969460,970,443,726
72430600,200,451,803
73564848,954,84,918
1778700,25,98,726
216267975,855,385,657
127155000,865,392,375
590340860,947,710,878
166754304,747,512,436
172864128,722,516,464
2043300,14,973,150
2367696,8,922,321
6527583,57,177,647
1025104,158,811,8
43625961,389,153,733
433263016,568,841,907
299939508,682,922,477
19144818,462,727,57
47471400,531,150,596
2511405,13,405,477
5474680,485,68,166
137230215,717,379,505
110072205,453,835,291
84550430,167,985,514
70454592,624,582,194
8682128,623,536,26
23467374,686,181,189
61822656,336,269,684
68390400,480,274,520
33838855,269,905,139
63057350,422,695,215
389348960,847,845,544
84966255,935,207,439
6679269,41,787,207
366007632,789,734,632
284917776,682,676,618
92901396,971,201,476
68462604,126,714,761
308205534,417,806,917
121080885,867,265,527
172224360,228,770,981
403627260,646,706,885
65434500,333,750,262
264184284,833,642,494
60321240,280,711,303
6543132,138,314,151
485752192,944,524,982
6020568,326,972,19
9057860,92,203,485
179117346,586,417,733
58458400,220,365,728
32524329,47,919,753
1212237,797,9,169
97765640,470,532,391
386755824,676,834,686
56802837,611,399,233
128134160,310,488,847
37426675,143,361,725
20288400,318,638,100
3995000,94,50,850
30351108,62,498,983
31308648,147,337,632
219339324,927,298,794
109949904,699,348,452
6369792,638,64,156
145131008,353,512,803
393520725,655,711,845
3863917,229,359,47
258548520,690,829,452
92836692,711,837,156
1192464,546,273,8
168251040,290,711,816
158874968,502,508,623
33132330,105,683,462
24407040,240,227,448
29693608,844,359,98
286282728,342,883,948
12753392,716,146,122
201320000,350,800,719
8553216,301,74,384
176174460,770,669,342
1768500,60,393,75
62397692,826,107,706
292022609,893,937,349
46668024,234,292,683
12296547,339,339,107
327553008,629,912,571
6280868,38,683,242
72049120,376,220,871
973692,18,731,74
36623496,409,168,533
55913328,394,146,972
430672124,709,839,724
19438650,275,918,77
398498142,734,721,753
243149796,636,397,963
26444352,304,132,659
86843484,364,441,541
382539690,995,403,954
239732328,692,543,638
176379620,710,446,557
260423975,469,835,665
7870464,61,288,448
67728192,313,368,588
101315340,294,630,547
23742400,608,71,550
487952075,785,949,655
67609464,474,338,422
6325890,37,205,834
61746480,449,180,764
376044998,607,959,646
662175,327,25,81
181887446,871,541,386
671333565,959,791,885
243886500,758,750,429
10293178,641,259,62
96133848,246,604,647
22062398,142,251,619
228318750,369,625,990
12145232,22,914,604
44439296,734,88,688
125667696,242,843,616
45449250,787,105,550
510221544,714,787,908
62219430,819,214,355
12332320,308,110,364
87973536,868,618,164
55121976,364,423,358
19768212,629,324,97
12668212,283,124,361
29643000,125,241,984
49272300,308,711,225
88187704,253,748,466
58190870,433,755,178
91477134,399,282,813
106454530,893,262,455
6522294,939,302,23
2760320,95,227,128
68021352,467,204,714
7077560,161,56,785
58047420,151,860,447
421514392,793,538,988
78255056,484,166,974
20477095,629,85,383
19817215,59,341,985
82837188,553,342,438
590862285,767,969,795
1948332,709,12,229
108388704,332,892,366
92738178,534,183,949
2022132,42,362,133
354654384,431,948,868
38286336,128,968,309
20416032,546,228,164
218126250,843,450,575
108286464,928,312,374
181140960,910,528,377
31301930,881,418,85
9970688,107,256,364
19890090,198,905,111
135671184,883,396,388
124858643,271,793,581
93678816,176,798,667
3022275,59,683,75
47781288,153,824,379
95226120,990,556,173
103547976,191,588,922
102102,33,221,14
277179300,409,753,900
153338640,295,546,952
2152800,130,24,690
31442000,995,40,790
12733952,28,608,748
561871308,939,659,908
41396754,201,329,626
17491749,803,137,159
194520404,923,236,893
94518000,295,450,712
209725086,943,734,303
1113672,49,24,947
56453040,720,161,487
299588832,906,664,498
33812856,396,399,214
232760,46,44,115
125088480,330,447,848
123050664,198,732,849
24932286,783,174,183
265607184,467,984,578
24477750,946,45,575
11309415,59,983,195
311585,5,101,617
3021300,54,746,75
7311480,264,145,191
154239400,700,841,262
26269488,292,147,612
2597124,116,439,51
82354800,300,748,367
134221875,625,515,417
100334304,634,168,942
227766,238,29,33
228551680,911,490,512
126479300,635,460,433
57153456,136,631,666
3893184,16,324,751
163647024,681,368,653
99001476,434,667,342
20708480,832,190,131
79971840,534,936,160
166695060,413,465,868
38318489,137,541,517
171591840,522,560,587
553695678,653,867,978
13512950,275,158,311
2985950,305,110,89
540430,11,170,289
15686528,22,857,832
68873112,909,861,88
12155500,575,604,35
47441100,266,246,725
290967456,636,664,689
10858992,807,841,16
3047814,733,14,297
563213574,978,693,831
2871141,273,809,13
277535808,792,628,558
308864160,816,555,682
119467488,436,466,588
127460144,287,677,656
18663588,174,354,303
206229450,210,997,985
29090672,866,221,152
